Title,URL of resource,Description,Year published,Resource Format (open data),Resource Format (tools and applications),Resource Format (case study),Resource type,Name of resource's point of contact,Organization of point of contact,Email of resource's point of contact,Social Inclusion Tags,Peace Processes,Safe Environments Tags,Civil Society Tags,State Institution Tags,Economic Foundations Tags
Large Scale International Boundaries,https://catalog.data.gov/dataset/large-scale-international-boundaries,"OverviewThe Office of the Geographer and Global Issues at the U.S. Department of State produces the Large Scale International Boundaries (LSIB) dataset.  The current edition is version 11.4 (published 24 February 2025).  The 11.4 release contains updated boundary lines and data refinements designed to extend the functionality of the dataset.  These data and generalized derivatives are the only international boundary lines approved for U.S. Government use.  The contents of this dataset reflect U.S. Government policy on international boundary alignment, political recognition, and dispute status.  They do not necessarily reflect de facto limits of control.National Geospatial Data AssetThis dataset is a National Geospatial Data Asset (NGDAID 194) managed by the Department of State.  It is a part of the International Boundaries Theme created by the Federal Geographic Data Committee.Dataset Source DetailsSources for these data include treaties, relevant maps, and data from boundary commissions, as well as national mapping agencies.  Where available and applicable, the dataset incorporates information from courts, tribunals, and international arbitrations.  The research and recovery process includes analysis of satellite imagery and elevation data.  Due to the limitations of source materials and processing techniques, most lines are within 100 meters of their true position on the ground.Cartographic VisualizationThe LSIB is a geospatial dataset that, when used for cartographic purposes, requires additional styling. The LSIB download package contains example style files for commonly used software applications.  The attribute table also contains embedded information to guide the cartographic representation.  Additional discussion of these considerations can be found in the Use of Core Attributes in Cartographic Visualization section below.Additional cartographic information pertaining to the depiction and description of international boundaries or areas of special sovereignty can be found in Guidance Bulletins published by the Office of the Geographer and Global Issues:https://data.geodata.state.gov/guidance/index.htmlContactDirect inquiries to internationalboundaries@state.gov.Direct download:https://data.geodata.state.gov/LSIB.zipAttribute StructureThe dataset uses the following attributes divided into two categories:
ATTRIBUTE NAME | ATTRIBUTE STATUS 
CC1 | Core
CC1_GENC3 | Extension
CC1_WPID | Extension
COUNTRY1 | Core
CC2 | Core
CC2_GENC3 | Extension
CC2_WPID | Extension
COUNTRY2 | Core
RANK | Core
LABEL | Core
STATUS | Core
NOTES | Core
LSIB_ID | Extension
ANTECIDS | Extension
PREVIDS | Extension
PARENTID | Extension
PARENTSEG | ExtensionThese attributes have external data sources that update separately from the LSIB:
ATTRIBUTE NAME | ATTRIBUTE STATUS 
CC1 | GENC
CC1_GENC3 | GENC
CC1_WPID | World Polygons
COUNTRY1 | DoS Lists
CC2 | GENC
CC2_GENC3 | GENC
CC2_WPID | World Polygons
COUNTRY2 | DoS Lists
LSIB_ID |   BASE
ANTECIDS | BASE
PREVIDS | BASE
PARENTID | BASE
PARENTSEG | BASEThe core attributes listed above describe the boundary lines contained within the LSIB dataset.  Removal of core attributes from the dataset will change the meaning of the lines.  An attribute status of “Extension” represents a field containing data interoperability information.  Other attributes not listed above include “FID”, “Shape_length” and “Shape.” These are components of the shapefile format and do not form an intrinsic part of the LSIB.Core AttributesThe eight core attributes listed above contain unique information which, when combined with the line geometry, comprise the LSIB dataset.  These Core Attributes are further divided into Country Code and Name Fields and Descriptive Fields.County Code and Country Name Fields“CC1” and “CC2” fields are machine readable fields that contain political entity codes.  These are two-character codes derived from the Geopolitical Entities, Names, and Codes Standard (GENC), Edition 3 Update 18.  “CC1_GENC3” and “CC2_GENC3” fields contain the corresponding three-character GENC codes and are extension attributes discussed below.  The codes “Q2” or “QX2” denote a line in the LSIB representing a boundary associated with areas not contained within the GENC standard.The “COUNTRY1” and “COUNTRY2” fields contain the names of corresponding political entities.  These fields contain names approved by the U.S. Board on Geographic Names (BGN) as incorporated in the ‘""Independent States in the World"" and ""Dependencies and Areas of Special Sovereignty"" lists maintained by the Department of State.  To ensure maximum compatibility, names are presented without diacritics and certain names are rendered using common cartographic abbreviations.  Names for lines associated with the code ""Q2"" are descriptive and not necessarily BGN-approved. Names rendered in all CAPITAL LETTERS denote independent states.   Names rendered in normal text represent dependencies, areas of special sovereignty, or are otherwise presented for the convenience of the user.Descriptive FieldsThe following text fields are a part of the core attributes of the LSIB dataset and do not update from external sources. They provide additional information about each of the lines and are as follows:
ATTRIBUTE NAME | CONTAINS NULLS
RANK | No
STATUS | No 
LABEL | Yes
NOTES | YesNeither the ""RANK"" nor ""STATUS"" fields contain null values; the ""LABEL"" and ""NOTES"" fields do.
The ""RANK"" field is a numeric expression of the ""STATUS"" field.  Combined with the line geometry, these fields encode the views of the United States Government on the political status of the boundary line.A value of “1” in the “RANK” field corresponds to an ""International Boundary"" value in the “STATUS” field.  Values of ”2” and “3” correspond to “Other Line of International Separation” and “Special Line,” respectively.The “LABEL” field contains required text to describe the line segment on all finished cartographic products, including but not limited to print and interactive maps.The “NOTES” field contains an explanation of special circumstances modifying the lines.  This information can pertain to the origins of the boundary lines, limitations regarding the purpose of the lines, or the original source of the line.Use of Core Attributes in Cartographic VisualizationSeveral of the Core Attributes provide information required for the proper cartographic representation of the LSIB dataset.  The cartographic usage of the LSIB requires a visual differentiation between the three categories of boundary lines.  Specifically, this differentiation must be between:
- International Boundaries (Rank 1);
- Other Lines of International Separation (Rank 2); and
- Special Lines (Rank 3).Rank 1 lines must be the most visually prominent.  Rank 2 lines must be less visually prominent than Rank 1 lines.  Rank 3 lines must be shown in a manner visually subordinate to Ranks 1 and 2.  Where scale permits, Rank 2 and 3 lines must be labeled in accordance with the “Label” field.  Data marked with a Rank 2 or 3 designation does not necessarily correspond to a disputed boundary.  Please consult the style files in the download package for examples of this depiction.The requirement to incorporate the contents of the ""LABEL"" field on cartographic products is scale dependent.  If a label is legible at the scale of a given static product, a proper use of this dataset would encourage the application of that label.  Using the contents of the ""COUNTRY1"" and ""COUNTRY2"" fields in the generation of a line segment label is not required.  The ""STATUS"" field contains the preferred description for the three LSIB line types when they are incorporated into a map legend but is otherwise not to be used for labeling.Use of the “CC1,” “CC1_GENC3,” “CC2,” “CC2_GENC3,” “RANK,” or “NOTES” fields for cartographic labeling purposes is prohibited.Extension AttributesCertain elements of the attributes within the LSIB dataset extend data functionality to make the data more interoperable or to provide clearer linkages to other datasets.The fields “CC1_GENC3” and “CC2_GENC” contain the corresponding three-character GENC code to the “CC1” and “CC2” attributes.  The code “QX2” is the three-character counterpart of the code “Q2,” which denotes a line in the LSIB representing a boundary associated with a geographic area not contained within the GENC standard.To allow for linkage between individual lines in the LSIB and World Polygons dataset, the “CC1_WPID” and “CC2_WPID” fields contain a Universally Unique Identifier (UUID), version 4, which provides a stable description of each geographic entity in a boundary pair relationship.  Each UUID corresponds to a geographic entity listed in the World Polygons dataset.  These fields allow for linkage between individual lines in the LSIB and the overall World Polygons dataset.Five additional fields in the LSIB expand on the UUID concept and either describe features that have changed across space and time or indicate relationships between previous versions of the feature.The “LSIB_ID” attribute is a UUID value that defines a specific instance of a feature.  Any change to the feature in a lineset requires a new “LSIB_ID.”The “ANTECIDS,” or antecedent ID, is a UUID that references line geometries from which a given line is descended in time.  It is used when there is a feature that is entirely new, not when there is a new version of a previous feature.  This is generally used to reference countries that have dissolved.The “PREVIDS,” or Previous ID, is a UUID field that contains old versions of a line.  This is an additive field, that houses all Previous IDs.  A new version of a feature is defined by any change to the feature—either line geometry or attribute—but it is still conceptually the same feature.The “PARENTID” field introduces a concept of hierarchy into the data model.  This UUID field links related Rank 2 and Rank 3 lines to their corresponding Rank 1 line.  If two political entities share multiple boundary lines of different Rank or Status, this field contains an identifier that assembles all line segments together.The “PARENTSEG” field, which is a future-use field, contains information pertaining to constituent parts of a boundary line of the same rank or status.External Data SourcesCertain elements of the LSIB incorporate elements of other published data sources. These include:Geopolitical Entities, Names, and Codes Registry:https://nsgreg.nga.mil/GENC-overview.jspU.S. Department of State List of Independent States in the World:https://www.state.gov/independent-states-in-the-world/U.S. Department of State List of Dependencies and Areas of Special Sovereignty:https://www.state.gov/dependencies-and-areas-of-special-sovereignty/U.S. Department of State Boundaries and Sovereignty Encyclopedia (BASE):https://statetoday.net/base(USG only)The LSIB also includes elements of two other NGDAs:The source for the U.S.—Canada international boundary (NGDAID97) is the International Boundary Commission:https://www.internationalboundarycommission.org/en/maps-coordinates/coordinates.phpThe source for the “International Boundary between the United States of America and the United States of Mexico” (NGDAID82) is the International Boundary and Water Commission:https://catalog.data.gov/dataset?q=usibwc",2025,,,,Open Data ,,U.S. Department of State (Point of Contact),internationalboundaries@state.gov,,,,,,Transboundary water sharing
Great Lakes Environmental Database (GLENDA),https://catalog.data.gov/dataset/great-lakes-environmental-database-glenda,"The Great Lakes Environmental Database (GLENDA) houses environmental data collected by EPA Great Lakes National Program Office (GLNPO) programs that sample water, aquatic life, sediments, and air to assess the health of the Great Lakes ecosystem. GLENDA is available to the public on the EPA Central Data Exchange (CDX). A CDX account is required, which anyone may create. GLENDA offers “Ready to Download Data Files” prepared by GLNPO or a “Query Data” interface that allows users to select from predefined parameters to create a customized query. Query results can be downloaded in .csv format. GLNPO programs providing data in GLENDA include the Great Lakes Water Quality Survey and Great Lakes Biology Monitoring Program (1983-present, biannual monitoring throughout the Great Lakes to assess water quality, chemical, nutrient, and physical parameters, and biota such as plankton and benthic invertebrates),  the Great Lakes Fish Monitoring and Surveillance Program (1977-present, annual analysis of top predator fish composites to assess historic and emerging persistent, bioaccumulative, or toxic chemical contaminants), the Cooperative Science and Monitoring Initiative (2002-present, intensive water quality and biology sampling of one lake per year focusing on key challenges and data gaps), the Great Lakes Integrated Atmospheric Deposition Network (1990-present, monitoring Great Lakes air and precipitation  for persistent toxic chemicals), the Lake Michigan Mass Balance Study (1993-1996, analyzed the atmosphere, tributaries, sediments, water column, and biota of Lake Michigan for nutrients, atrazine, PCBs, trans-nonachlor, and mercury modelling), and the Great Lakes Legacy Act (1996-present, evaluations of sediment contamination in Areas of Concern). GLENDA is updated frequently with new data.",2024,,,,Open Data ,,"U.S. Environmental Protection Agency, Region 5",Klewin.Kenneth@epa.gov,,,,,,Transboundary water sharing
"USDA National Nutrient Database for Standard Reference Dataset for What We Eat In America, NHANES (Survey-SR)",https://catalog.data.gov/dataset/usda-national-nutrient-database-for-standard-reference-dataset-for-what-we-eat-in-america--37895,"The dataset, Survey-SR, provides the nutrient data for assessing dietary intakes from the national survey What We Eat In America, National Health and Nutrition Examination Survey (WWEIA, NHANES). Historically, USDA databases have been used for national nutrition monitoring (1). Currently, the Food and Nutrient Database for Dietary Studies (FNDDS) (2), is used by Food Surveys Research Group, ARS, to process dietary intake data from WWEIA, NHANES. Nutrient values for FNDDS are based on Survey-SR. Survey-SR was referred to as the ""Primary Data Set"" in older publications. Early versions of the dataset were composed mainly of commodity-type items such as wheat flour, sugar, milk, etc. However, with increased consumption of commercial processed and restaurant foods and changes in how national nutrition monitoring data are used (1), many commercial processed and restaurant items have been added to Survey-SR. 
 
The current version, Survey-SR 2013-2014, is mainly based on the USDA National Nutrient Database for Standard Reference (SR) 28 (2) and contains sixty-six nutrientseach for 3,404 foods. These nutrient data will be used for assessing intake data from WWEIA, NHANES 2013-2014. Nutrient profiles were added for 265 new foods and updated for about 500 foods from the version used for the previous survey (WWEIA, NHANES 2011-12).  New foods added include mainly commercially processed foods such as several gluten-free products, milk substitutes, sauces and condiments such as sriracha, pesto and wasabi, Greek yogurt, breakfast cereals, low-sodium meat products, whole grain pastas and baked products, and several beverages including bottled tea and coffee, coconut water, malt beverages, hard cider, fruit-flavored drinks, fortified fruit juices and fruit and/or vegetable smoothies. Several school lunch pizzas and chicken products, fast-food sandwiches, and new beef cuts were also added, as they are now reported more frequently by survey respondents. Nutrient profiles were updated for several commonly consumed foods such as cheddar, mozzarella and American cheese, ground beef, butter, and catsup. The changes in nutrient values may be due to reformulations in products, changes in the market shares of brands, or more accurate data. Examples of more accurate data include analytical data, market share data, and data from a nationally representative sample. Resources in thisdataset:ResourceTitle: USDA National Nutrient Database for Standard Reference Dataset for What We Eat In America, NHANES 2013-14 (Survey SR 2013-14). File Name: SurveySR_2013_14 (1).zipResource Description: Access database downloaded on November 16, 2017. US Department of Agriculture, Agricultural Research Service, Nutrient Data Laboratory. USDA National Nutrient Database for Standard Reference Dataset for What We Eat In America, NHANES (Survey-SR), October 2015. Resource Title: Data Dictionary. File Name: SurveySR_DD.pdf",2024,,,,Open Data ,,Agricultural Research Service,jaspreet.ahuja@ars.usda.gov,,,,,,Transboundary water sharing
2019 California Water Quality Status Report,https://catalog.data.gov/dataset/2019-california-water-quality-status-report,"The California Water Quality Status Report is an annual data-driven snapshot of the Water Board’s water quality and ecosystem data. This third edition of the report is organized around the watershed from land to sea. Each theme-specific story includes a brief background, a data analysis summary, an overview of management actions, and access to the raw data.
View the 2019 California Water Quality Status Report.Data for Fig. 2 1,2,3,-Trichloropropane is provided as a download below. The data can also be downloaded from the State Water Resources Control Board (SWRCB) website.
Data for Fig. 6 Statewide Water Bodies Toxicity can be downloaded from the California Open Data Portal.
Sediment load data for Fig. 7 Elk River is provided as a download below. Landslide susceptibility data is available on the California Geological Survey GIS server.
Data for Fig. 8 Central Valley Water Board E. coli Monitoring Results can be downloaded from Google Sheets.
Data for Fig. 9 Harmful Algal Bloom Incident Reports Map can be downloaded from the California Open Data Portal.
Data for Fig. 19 Industrial Stormwater Assessment Tool can be downloaded from the California Open Data Portal (Monitoring Data, Facility Information), Office of Environmental Health Hazard Assessment CalEnviroScreen 3.0 webpage, and the SWRCB 2012 Integrated Report webpage.
Data for Fig. 20 is provided as a download below and is also available on the Stream Quality Index dashboard. Download the file from the dashboard for the most current data.",2024,,,,Open Data ,,California State Water Resources Control Board,noemailprovided@usa.gov,,,,,,Transboundary water sharing
National Hydrography Data - NHD and 3DHP,https://catalog.data.gov/dataset/national-hydrography-dataset-nhd-0c127,"The USGS National Hydrography Dataset (NHD) Downloadable Data Collection from The National Map (TNM) is a comprehensive set of digital spatial data that encodes information about naturally occurring and constructed bodies of surface water (lakes, ponds, and reservoirs), paths through which water flows (canals, ditches, streams, and rivers), and related entities such as point features (springs, wells, stream gages, and dams). The information encoded about these features includes classification and other characteristics, delineation, geographic name, position and related measures, a ""reach code"" through which other information can be related to the NHD, and the direction of water flow. The network of reach codes delineating water and transported material flow allows users to trace movement in upstream and downstream directions. In addition to this geographic information, the dataset contains metadata that supports the exchange of future updates and improvements to the data. The NHD supports many applications, such as making maps, geocoding observations, flow modeling, data maintenance, and stewardship. For additional information on NHD, go tohttps://www.usgs.gov/core-science-systems/ngp/national-hydrography.DWR was the steward for NHD and Watershed Boundary Dataset (WBD) in California. We worked with other organizations to edit and improve NHD and WBD, using the business rules for California. California's NHD improvements were sent to USGS for incorporation into the national database. The most up-to-date products are accessible from the USGS website. Please note that the California portion of the National Hydrography Dataset is appropriate for use at the 1:24,000 scale.For additional derivative products and resources, including the major features in geopackage format, please go to this page:https://data.cnra.ca.gov/dataset/nhd-major-featuresArchives of previous statewide extracts of the NHD going back to 2018 may be found athttps://data.cnra.ca.gov/dataset/nhd-archive.In September 2022, USGS officially notified DWR that the NHD would become static as USGS resources will be devoted to the transition to the new 3D Hydrography Program (3DHP). 3DHP will consist of LiDAR-derived hydrography at a higher resolution than NHD. Upon completion, 3DHP data will be easier to maintain, based on a modern data model and architecture, and better meet the requirements of users that were documented in the Hydrography Requirements and Benefits Study (2016). The initial releases of 3DHP will be the NHD data cross-walked into the 3DHP data model. It will take several years for the 3DHP to be built out for California. Please refer to the resources on this page for more information.The FINAL,STATIC version of the National Hydrography Dataset for California was published for download by USGS on December 27, 2023. This dataset can no longer be edited by the state stewards.The first public release of the 3D Hydrography Program map service may be accessed athttps://hydro.nationalmap.gov/arcgis/rest/services/3DHP_all/MapServer.Questions about the California stewardship of these datasets may be directed to nhd_stewardship@water.ca.gov.",2024,,,,Open Data ,,California Department of Water Resources,Jane.Schafer-Kramer@water.ca.gov,,,,,,Transboundary water sharing
BLM NM REGION CadNSDI TOWNSHIPS FOR NM,https://catalog.data.gov/dataset/blm-nm-region-cadnsdi-townships-for-nm-12c64,"This data represents the GIS Version of the Public Land Survey System including both rectangular and non-rectangular survey data. The rectangular survey data are a reference system for land tenure based upon meridian, township/range, section, section subdivision and government lots. The non-rectangular survey data represent surveys that were largely performed to protect and/or convey title on specific parcels of land such as mineral surveys and tracts. The data are largely complete in reference to the rectangular survey data at the level of first division. However, the data varies in terms of granularity of its spatial representation as well as its content below the first division. Therefore, depending upon the data source and steward, accurate subdivision of the rectangular data may not be available below the first division and the non-rectangular minerals surveys may not be present. At times, the complexity of surveys rendered the collection of data cost prohibitive such as in areas characterized by numerous, overlapping mineral surveys. In these situations, the data were often not abstracted or were only partially abstracted and incorporated into the data set. These PLSS data were compiled from a broad spectrum or sources including federal, county, and private survey records such as field notes and plats as well as map sources such as USGS 7 ½ minute quadrangles. The metadata in each data set describes the production methods for the data content. This data is optimized for data publication and sharing rather than for specific ""production"" or operation and maintenance. A complete PLSS data set includes the following: PLSS Townships, First Divisions and Second Divisions (the hierarchical break down of the PLSS Rectangular surveys) PLSS Special surveys (non-rectangular components of the PLSS) Meandered Water, Corners, Metadata at a Glance (which identified last revised date and data steward) and Conflicted Areas (known areas of gaps or overlaps or inconsistencies). The Entity-Attribute section of this metadata describes these components in greater detail. The second division of the PLSS is quarter, quarter-quarter, sixteenth or government lot division of the PLSS. The second and third divisions are combined into this feature class as an intentional de-normalization of the PLSS hierarchical data. The polygons in this feature class represent the smallest division to the sixteenth that has been defined for the first division. For example In some cases sections have only been divided to the quarter. Divisions below the sixteenth are in the Special Survey or Parcel Feature Class. In the Public Land Survey System a Township refers to a unit of land, that is nominally six miles on a side, usually containing 36 sections.",2024,,,,Open Data ,,Bureau of Land Management,blm_nm_comments@blm.gov,,,,,,Transboundary water sharing
Water quality data,https://catalog.data.gov/dataset/water-quality-data-56041,"The ZTRAX data is a national database of property sales collected by Zillow.  The data is available to researchers who submit a research proposal to Zillow. Portions of this dataset are inaccessible because: Not publicly available. They can be accessed through the following means: Requires a data sharing agreement with Zillow. Format: National property sales databasehttps://www.zillow.com/research/ztrax/.This dataset is associated with the following publication:
Mamun, S., A. Castillo, K. Swedberg, J. Zhang, K.J. Boyle, D. Cardoso, C.L. King, C. Nolte, M. Papenfus, D. Phaneuf, and S. Polasky. Valuing water quality in the United States using a national dataset on property values.   PNAS  (PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES). National Academy of Sciences, WASHINGTON, DC, USA, 120(5): e2210417120, (2023).",2023,,,,Open Data ,,U.S. EPA Office of Research and Development (ORD),papenfus.michael@epa.gov,,,,,,Transboundary water sharing
Allegheny County Land Cover Areas,https://catalog.data.gov/dataset/allegheny-county-land-cover-areas,"The Land Cover dataset demarcates 14 land cover types by area; such as
Residential, Commercial, Industrial, Forest, Agriculture, etc.If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (http://www.wprdc.org), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(http://openac.alcogis.opendata.arcgis.com/). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.Category:  GeographyOrganization:  Allegheny CountyDepartment:  Geographic Information Systems Group; Department of
Administrative ServicesTemporal
Coverage:  1994Data
Notes:Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey FootDevelopment Notes:  The dataset was created by Chester
Environmental through combined image processing and GIS analysis of Landsat TM
imagery of October 2, 1992, existing aerial photography, hardcopy and digital
mapping sources and Census Bureau demographic data. The original dataset was
created in 1993, then updated by Chester in 1994.Other: noneRelated
Document(s):  Data
Dictionary (https://docs.google.com/spreadsheets/d/1VfUflfki42mpLSkr1R-up_OXGD3mHnv8tqeXf6XS9O0/edit?usp=sharing)Frequency
- Data Change:  As neededFrequency
- Publishing:  As neededData
Steward Name:  Eli ThomasData
Steward Email: gishelp@alleghenycounty.us",2023,,,,Open Data ,,Allegheny County,wprdc@pitt.edu,,,,,,Transboundary water sharing
NBDPS Comparison of THM Exposure Metrics,https://catalog.data.gov/dataset/nbdps-comparison-of-thm-exposure-metrics,"We used exposure data collected for a previous study of DBPs to evaluate how different sources of information impact trihalomethane (THM) exposure estimates, Specifically, we compared gestational exposure estimates to THMs based on water utility monitoring data alone, statistical imputation of daily concentrations to incorporate temporal variability, and personal water consumption and use (bathing and showering). We used Spearman correlation coefficients and ranked kappa statistics to compare exposure classifications. This dataset is not publicly accessible because: EPA cannot release personally identifiable information regarding living individuals, according to the Privacy Act and the Freedom of Information Act (FOIA). This dataset contains information about human research subjects. Because there is potential to identify individual participants and disclose personal information, either alone or in combination with other datasets, individual level data are not appropriate to post for public access. Restricted access may be granted to authorized persons by contacting the party listed. It can be accessed through the following means: Data that CDC collects or holds must be available for data sharing within a year after the data are evaluated for quality and shared with any partners in data collection activity.  Because NBDPS data contain PII, NBDPS data are not released publicly.  Instead, they are available via a special use agreement.  Qualified researchers can be granted access to NBDPS data for analysis through collaboration with one of the Centers for Birth Defects Research and Prevention.  The procedure for applying for access to NBDPS data can be found on the NBDPS Public Access Procedures web site:https://www.cdc.gov/ncbddd/birthdefects/nbdps-public-access-procedures.html. Format: This research was conducted with data collected by the CDC-sponsored National Birth Defects Prevention Study (NBDPS).  These data include birth data and geocoded residential addresses before and during pregnancy.This dataset is associated with the following publication:
Luben, T., R. Shaffer, E. Kenyon, W. Nembhard, K. Weber, J. Nuckols, and J. Wright. Comparison of trihalomethane exposure assessment metrics in epidemiologic analyses of reproductive and developmental outcomes.   Journal of Exposure Science and Environmental Epidemiology. Nature Publishing Group, London,  UK, 34: 115-125, (2024).",2025,,,,Open Data ,,U.S. EPA Office of Research and Development (ORD),luben.tom@epa.gov,,,,,,Transboundary water sharing
Conservation Reserve Program Acreage by County,https://catalog.data.gov/dataset/conservation-reserve-program-acreage-by-county,"This dataset contains information regarding the acreages of land currently (as of 2004) enrolled in the Conservation Reserve Program (CRP) distributed by county and the year the CRP contract was initiated (1987-2004, excluding 1994 and 1995). Additionally, it contains total acreages of land enrolled in the CRP distributed by county and the contract year (1987-2003). USDA Farm Service Agency's (FSA) Conservation Reserve Program (CRP) is a voluntary program available to agricultural producers to help them safeguard environmentally sensitive land. Producers enrolled in CRP plant long-term, resource-conserving covers to improve the quality of water, control soil erosion, and enhance wildlife habitat. In return, FSA provides participants with rental payments and cost-share assistance. Contract duration is between 10 and 15 years. Acreage enrolled in the CRP is planted to resource-conserving vegetative covers, making the program a major contributor to increased wildlife populations in many parts of the country.These spatial data were created by cross-referencing a base map of counties in the western U.S. with tabular data provided by:
(1) Data in the columns labeled by year indicate the ""Total All Practices"" acreage entered into active CRP contracts in that county in that year.(2) Information requested under the Freedom of Information Act (USDA Case#2004-180)
Although the CRP Program continues, and new lands are entered into contracts and some contracted lands expire, this map is static as of the publication date because it was created for a specific analysis.  A user could update this dataset by editing the attribute table with new data as it is produced.",2024,,,,Open Data ,,U.S. Geological Survey,fresc_outreach@usgs.gov,,,,,,Transboundary water sharing
BLM NV PLSS CADNSDI Version 2 Township Polygon,https://catalog.data.gov/dataset/blm-nv-plss-cadnsdi-version-2-township-polygon-ce17b,"BLM NV PLSSTownship: This dataset represents the GIS Version of the Public Land Survey System including both rectangular and non-rectangular surveys. The primary source for the data is cadastral survey records housed by the BLM supplemented with local records and geographic control coordinates from states, counties as well as other federal agencies such as the USGS and USFS. The data has been converted from source documents to digital form and transferred into a GIS format that is compliant with FGDC Cadastral Data Content Standards and Guidelines for publication. This data is optimized for data publication and sharing rather than for specific ""production"" or operation and maintenance. This data set includes the following: PLSS Fully Intersected (all of the PLSS feature at the atomic or smallest polygon level), PLSS Townships, First Divisions and Second Divisions (the hierarchical break down of the PLSS Rectangular surveys) PLSS Special surveys (non rectangular components of the PLSS) Meandered Water, Corners and Conflicted Areas (known areas of gaps or overlaps between Townships or state boundaries). The Entity-Attribute section of this metadata describes these components in greater detail.",2025,,,,Open Data ,,Bureau of Land Management,nviac@blm.gov,,,,,,Transboundary water sharing
Open Water Rate Specification,https://catalog.data.gov/dataset/open-water-rate-specification,"This repository documents the Open Water Rate Specification (OWRS), a machine-readable format for specifying and sharing water rate information. OWRS is designed for analysts, economists, and software developers interested in analyzing water rates. OWRS attempts to fully encode a water utility's rate structure and pricing schedules in a form that is easy to store, share, modify and apply programmatically.",2025,,,,Open Data ,,California Data Collaborative,chris@thecadc.org,,,,,,Transboundary water sharing
"International Comprehensive Ocean-Atmosphere Data Set (ICOADS) Release 3.0 Final, Individual Reports in the International Maritime Meteorological Archive Format version 1 (IMMA1)",https://catalog.data.gov/dataset/international-comprehensive-ocean-atmosphere-data-set-icoads-release-3-0-final-individual-repor1,"This dataset, the International Comprehensive Ocean-Atmosphere Data Set (ICOADS), is the most widely-used freely available collection of surface marine observations, with over 455 million individual marine reports spanning 1662-2014-each containing the observations and metadata reported from a given ship, buoy, coastal platform, or oceanographic instrument, providing data for the construction of gridded analyses of sea surface temperature, estimates of air-sea interaction and other meteorological variables. ICOADS observations are assimilated into all major atmospheric, oceanic and coupled reanalyses, further widening its impact. R3, therefore includes changes designed to enable the effective exchange of information describing data quality between ICOADS, reanalysis centres, data set developers, scientists, and the public. These user-driven innovations include the assignment of a unique identifier (UID) to each marine report to enable tracing of observations, linking with reports and improved data sharing. Other revisions and extensions of the ICOADS' International Maritime Meteorological Archive (IMMA) common data format incorporate new near-surface oceanographic data elements and cloud parameters. Many new input data sources have been assembled, and updates and improvements to existing data sources, or removal of erroneous data, made. Additionally, these data are offered in NetCDF with useful metadata added in global and variable attributes of each file to make the NetCDF self-contained.This dataset includes 2 versions of the official ICOADS Release 3 dataset: 1) the 'Total' product  (denoted by 'T' in the filename) which contains all duplicates and is used for verification and research purposes; and 2) 'Final' R3, with duplicates removed, where all reports have been compared for matching dates, id's and elements observed and the best duplicate retained as the final report.",2023,,,,Open Data ,,"DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact)",NODC.Services@noaa.gov,,,,,,Transboundary water sharing
United States Air Force 14th Weather Squadron Surface Weather Observations (Restricted),https://catalog.data.gov/dataset/united-states-air-force-14th-weather-squadron-surface-weather-observations-restricted1,"The 14th Weather Squadron of the U.S. Air Force (USAF-14WS) creates a comprehensive dataset of weather observations; these observations stem from hundreds of domestic and international networks on a daily basis. Observations cover a broad spectrum of information that are incorporated into the NOAA Integrated Surface Data product. This dataset includes: cloud height and quality observations; extreme temperature; wind observations; ocean observations covering temperature, salinity, current speed and direction, waves, ice data; visibility; air temperature; precipitation; snow depth; atmospheric pressure; station metadata; etc. Up-to-date station metadata is included with every data submission, though not all stations described are included with every data submission. This is one of the primary source feeds into the NOAA Integrated Surface Data product.",2023,,,,Open Data ,,NOAA National Centers for Environmental Information (Point of Contact),ncei.orders@noaa.gov,,,,,,Transboundary water sharing
